"Id_emp";"Name";"Last_Name";"birth_date";"Gender";"area";"salary";"Start_date";"finish_date";"promotion_date";"type";"date_backup";"fecha";"hora";"age";"email"
"00-0037846";"Kimmy";"Walczynski";"1991-06-04";"male";"Engineering";77719;"2002-01-20";"";"";"Hybrid";"";"";"";33;"Kimmy_Walc.H@consulting.com"
"00-0041533";"Ignatius";"Springett";"1984-06-29";"male";"Business Development";135189;"2019-04-08";"";"";"Hybrid";"";"";"";40;"Ignatius_Spri.H@consulting.com"
"00-0045747";"Corbie";"Bittlestone";"1989-07-29";"male";"Sales";122484;"2010-10-12";"";"";"Remote";"";"";"";35;"Corbie_Bitt.R@consulting.com"
"00-0055274";"Baxy";"Matton";"1982-09-14";"female";"Services";82100;"2005-04-10";"";"";"Hybrid";"";"";"";42;"Baxy_Matt.H@consulting.com"
"00-0076100";"Terrell";"Suff";"1994-04-11";"female";"Product Management";114648;"2010-09-29";"2029-10-29 06:09:38";"";"Remote";"2029-10-29 06:09:38 UTC";"2029-10-29";"06:09:38";30;"Terrell_Suff.R@consulting.com"
"00-0116166";"Kacie";"Offiler";"1971-01-18";"male";"Engineering";121044;"2018-09-01";"";"";"Hybrid";"";"";"";54;"Kacie_Offi.H@consulting.com"
"00-0363185";"Sandro";"Admans";"1979-11-19";"male";"Product Management";174195;"2012-11-08";"";"";"Remote";"";"";"";45;"Sandro_Adma.R@consulting.com"
"00-0380704";"Eugene";"Lehrahan";"1988-10-14";"female";"Engineering";66031;"2007-06-27";"";"";"Remote";"";"";"";36;"Eugene_Lehr.R@consulting.com"
"00-0381660";"Wainwright";"Corfield";"1996-12-13";"male";"Engineering";164055;"2001-02-20";"2008-12-05 01:21:48";"";"Hybrid";"2008-12-05 01:21:48 UTC";"2008-12-05";"01:21:48";28;"Wainwright_Corf.H@consulting.com"
"00-0419202";"Dyann";"Isoldi";"1980-03-27";"male";"Engineering";135543;"2005-01-27";"";"";"Remote";"";"";"";44;"Dyann_Isol.R@consulting.com"
"00-0472287";"Grantley";"Oret";"1975-09-06";"male";"Services";166001;"2004-11-01";"";"";"Remote";"";"";"";49;"Grantley_Oret.R@consulting.com"
"00-0472832";"Elmore";"Worner";"1966-01-07";"female";"Engineering";117567;"2000-12-05";"";"";"Remote";"";"";"";59;"Elmore_Worn.R@consulting.com"
"00-0566380";"Dud";"Brain";"1984-03-17";"male";"Business Development";150237;"2008-09-17";"";"";"Hybrid";"";"";"";40;"Dud_Brai.H@consulting.com"
"00-0571075";"Aguie";"Conford";"1971-11-02";"male";"Business Development";174698;"2015-11-25";"";"";"Remote";"";"";"";53;"Aguie_Conf.R@consulting.com"
"00-0624189";"Katerina";"Rosborough";"1967-08-20";"male";"Engineering";124803;"2019-05-17";"";"";"Remote";"";"";"";57;"Katerina_Rosb.R@consulting.com"
"00-0715212";"Alida";"Longley";"1973-01-28";"female";"Accounting";156904;"2002-02-04";"";"";"Hybrid";"";"";"";52;"Alida_Long.H@consulting.com"
"00-0755645";"Laraine";"Petre";"1967-05-11";"male";"Engineering";140626;"2010-09-30";"";"";"Remote";"";"";"";57;"Laraine_Petr.R@consulting.com"
"00-0778934";"Gareth";"MacCook";"1987-02-21";"female";"Legal";107742;"2010-02-18";"";"";"Remote";"";"";"";37;"Gareth_MacC.R@consulting.com"
"00-0794247";"Scottie";"Chestney";"1972-02-23";"female";"Engineering";90315;"2002-07-03";"";"";"Remote";"";"";"";52;"Scottie_Ches.R@consulting.com"
"00-0948136";"Christophorus";"Boseley";"1983-05-23";"female";"Marketing";124809;"2007-09-06";"";"";"Remote";"";"";"";41;"Christophorus_Bose.R@consulting.com"
"00-0971612";"Arleyne";"Froome";"1999-08-01";"male";"Engineering";137597;"2015-04-09";"";"";"Remote";"";"";"";25;"Arleyne_Froo.R@consulting.com"
"00-1051096";"Todd";"Cashen";"1999-06-19";"female";"Accounting";115695;"2014-06-20";"";"";"Remote";"";"";"";25;"Todd_Cash.R@consulting.com"
"00-1052230";"Elmo";"McNee";"1988-12-16";"female";"Services";78418;"2002-07-18";"2006-05-22 20:14:26";"";"Remote";"2006-05-22 20:14:26 UTC";"2006-05-22";"20:14:26";36;"Elmo_McNe.R@consulting.com"
"00-1100714";"Regen";"Nafzger";"1990-04-06";"male";"Human Resources";164369;"2016-07-23";"2022-07-12 02:26:01";"";"Hybrid";"2022-07-12 02:26:01 UTC";"2022-07-12";"02:26:01";34;"Regen_Nafz.H@consulting.com"
"00-1147503";"Penelope";"Wenman";"1994-12-19";"male";"Business Development";154937;"2019-09-10";"";"";"Remote";"";"";"";30;"Penelope_Wenm.R@consulting.com"
